A–o;periodo;LCC;ACC;peso;Huevos;playa;distancia;profNido;crias_Emerg;crias_Muertas;hrotos;cangrejos
2004;1;70,6;69,7;53,2;64;Ervatao;32,5;60,6;;;;
2001;2;82,6;73,6;53,5;78;Ervatao;36;62,8;6;0;72;0
2002;1;81,8;79,9;65,4;87;Calheta;20,8;28,9;0;1;86;1
2003;4;78,9;70,8;58,9;68;Ponta Cosme;25,8;45,1;27;1;40;0
2003;2;81,3;78,5;58,5;94;Ervatao;18;56,7;24;0;70;1
2000;2;83,6;81;64,3;84;Porto Ferreiro;18,4;41,2;;;;
2003;4;82,4;75,5;67,2;87;Ponta Cosme;24,6;36,3;5;1;81;1
2001;4;79,5;72,9;66,1;80;Ponta Cosme;26,2;47,3;18;0;62;1
2002;3;78,5;78,4;58,7;75;Calheta;24,2;24,8;;;;
2001;4;85,4;76,7;62,5;74;Ervatao;18,5;55,2;28;1;45;0
2003;3;83;79,9;67,8;80;Porto Ferreiro;30,6;45,3;64;0;16;0
2000;5;81,3;77,1;58,1;82;Calheta;11,7;27,1;0;1;81;1
2002;3;85,7;78,8;61,3;89;Ponta Cosme;30,5;52,3;0;0;89;1
2004;5;83;78,6;61;76;Ervatao;8,8;52,5;0;0;76;1
2004;3;79,1;75,6;58,6;82;Ervatao;10,6;56;;;;
2004;4;78,8;74,9;58,3;64;Calheta;22,5;38,6;0;0;64;1
2004;5;96,7;87,3;71,8;76;Ponta Cosme;31,8;46,8;19;0;57;0
2000;2;94,4;85,7;65,1;112;Ponta Cosme;19,1;37,6;5;8;99;1
2000;4;78,9;73,5;55,4;89;Ervatao;27;51,5;;;;
1999;4;82,3;79,8;62,1;83;Ervatao;24,4;58,9;;;;
2000;4;81,1;73,9;61,5;71;Ponta Cosme;30,8;42,8;21;0;50;0
2000;2;79,1;73,7;62,9;93;Ponta Cosme;39,5;60;7;5;81;1
2002;3;82,1;77,8;58,8;87;Ervatao;22,2;61,9;53;1;33;0
2002;4;78,3;79,6;56,1;73;Ponta Cosme;27,1;47,8;;;;
2004;1;80,9;78,3;60,9;84;Ponta Cosme;31,9;51,4;0;1;83;1
2000;5;81,7;80,4;58,2;73;Ponta Cosme;24,5;40,5;39;1;33;0
2004;3;76,3;76;57,9;89;Ervatao;27;54,7;45;0;44;1
2003;2;75,2;69,6;47,2;70;Calheta;16;36,8;;;;
2001;5;75,9;73,1;50,9;70;Porto Ferreiro;8,7;42,8;12;0;58;1
2004;2;77,3;75,6;67,3;73;Ervatao;29,1;60,1;22;0;51;0
2004;1;94,5;90,4;60,7;108;Ponta Cosme;19,5;48,8;;;;
2003;1;74,4;72,4;58;78;Ervatao;22,6;59,6;0;0;78;1
2001;1;82,8;77,7;67,9;98;Ervatao;22,4;57,1;0;0;98;1
2002;3;84;82,3;57,9;65;Calheta;17,4;40,2;;;;
2003;4;80;74,5;59,2;68;Porto Ferreiro;17,9;32,4;50;0;18;0
2002;4;88,5;81,6;64;97;Porto Ferreiro;24;40,8;21;0;76;0
2002;5;88,2;83,2;62,4;79;Ponta Cosme;22,1;48;0;0;79;1
2000;2;82,2;77,3;54,9;78;Ervatao;25;52,5;;;;
2001;1;84,1;78,4;57,1;89;Calheta;24,6;42,5;0;0;89;1
2001;1;79,8;76,4;52,5;86;Calheta;21,7;35,2;74;4;8;0
2003;4;78,9;71,4;58;75;Ponta Cosme;18;36,2;;;;
1999;2;78;74,8;53,5;104;Ervatao;21,8;57,4;51;0;53;0
2004;2;79,9;73;64,1;81;Porto Ferreiro;24,9;49;9;0;72;0
1999;5;84,2;74,9;55,2;88;Calheta;25,1;45,1;0;1;87;1
2002;4;82,9;78,5;62,2;87;Ponta Cosme;24,3;41;;;;
2001;5;85,5;80,5;63,2;75;Ervatao;22,7;54,3;16;11;48;0
2000;3;83,9;81;61,5;80;Porto Ferreiro;27,1;42,8;0;1;79;1
2002;4;94,4;84;71,2;88;Ervatao;42,1;67;;;;
2001;3;83,4;75;57,7;82;Ponta Cosme;25,9;39,4;59;0;23;1
2002;2;81,9;76,3;57,3;75;Ervatao;31,3;61;0;0;75;1
1999;3;98,9;87,5;77,8;124;Calheta;26,9;36;0;0;124;1
2000;1;94,8;85,7;64,6;99;Ervatao;23;63,3;;;;
1999;5;81,9;74,6;60,2;79;Ervatao;14,3;60,2;46;0;33;0
2004;4;77,6;76;61,1;88;Porto Ferreiro;17,1;42;;;;
2003;5;84,6;77,9;60;78;Porto Ferreiro;14,3;34,4;32;0;46;1
2000;2;83,2;80,8;59,8;68;Ervatao;18,8;60,5;;;;
1999;3;88;80,7;63,8;103;Ponta Cosme;42;52,7;9;1;93;1
2001;4;82,6;74,7;57,4;86;Ervatao;7,3;50,6;53;0;33;0
2002;2;84;80,3;64;90;Porto Ferreiro;20,8;44,4;19;0;71;1
2004;4;87,1;79,9;58,5;81;Calheta;33,1;42,7;;;;
2001;4;71;68,9;45;58;Calheta;28,4;36,8;;;;
2004;3;82,7;82;59,5;84;Porto Ferreiro;31,3;53;;;;
2000;4;77,4;69,8;59,2;68;Ponta Cosme;23,7;52,2;7;2;59;1
2003;2;78,3;77,1;62,9;80;Ponta Cosme;20,8;44,2;26;4;50;0
1999;1;89,4;81,6;66,2;108;Ervatao;22,1;64,4;;;;
2002;4;80,7;73,5;62,5;70;Ponta Cosme;15,7;31,3;0;1;69;1
2001;3;82,4;77;55,7;85;Ervatao;33,7;68,8;77;0;8;1
